S3,S2,S1,S4,S7,ITTH
TCGA.DK.AA6S.01,0.0660967286931708,0.117327069986151,0.601582052079724,0.127651394654165,0.0873427545867895,0.753297723046445
TCGA.DK.A6B2.01,0.0369699955062606,0.613734808646983,0.34929519483811,3.97588534823583e-10,6.11057510165878e-10,0.490193892316627
TCGA.GU.A763.01,0.591388584535188,0.166759748936536,0.180060660149552,0.0617910062245015,1.54223741118164e-10,0.677304219046191
TCGA.XF.A9T4.01,0.00473996308751636,0.290826368633524,0.0981229781682426,0.602759317510203,0.00355137260051457,0.582509101444355
TCGA.FD.A5C1.01,5.95007366889456e-06,0.531012007143408,0.349017652085034,0.119961116031067,3.27466682161926e-06,0.595241004990875
TCGA.GU.A42Q.01,0.0807998539707283,1.56371967668147e-06,0.172924739758778,0.746266409527519,7.43302329775418e-06,0.450629698257158
TCGA.DK.A3IL.01,0.157939263853229,0.411307039422145,0.400458904662543,0.021042054546703,0.00925273751538051,0.713261663623359
TCGA.XF.AAMH.01,0.416246699535064,4.61241095166824e-11,0.558729956449357,2.12656391607445e-11,0.0250233439481894,0.486098924881359
TCGA.FT.A61P.01,2.37585583072393e-06,0.294898670625513,0.615223663906969,0.0527615539949514,0.0371137356167365,0.581856782031026
TCGA.G2.A2EF.01,1.13473590076444e-05,0.0185942418648256,0.840306199825604,0.140953493822094,0.000134717128469222,0.309302908031552
TCGA.XF.A9T2.01,0.127735099850974,0,0.82647720527591,0.045787694873116,0,0.348918501400758
TCGA.G2.A2EK.01,0.0870891792414711,0.484434444500739,0.358650721211012,0.0503519042894032,0.0194737507573746,0.719894647316122
TCGA.UY.A9PD.01,0.116163567871635,0.47001188310348,0.413645459779569,1.77381231986876e-05,0.000161351122117304,0.603736477399544
TCGA.DK.AA6P.01,0.0531867611017545,0.50341541371535,0.443260913617093,6.86306394942791e-05,6.8280926308298e-05,0.536528622207827
TCGA.GV.A3QK.01,0.11993486670099,0.612854943796318,0.245477825204882,0.00849247979943192,0.0132398844983784,0.619450864366823
TCGA.GC.A3I6.01,0.0407745975621742,0.249055191998877,0.344511776134994,0.319546025595032,0.0461124087089229,0.838940320842342
TCGA.UY.A8OC.01,0.133946479754263,5.20581776340034e-06,0.394608082220658,0.471434094514142,6.13769317419624e-06,0.615649628594608
TCGA.FD.A3B7.01,4.3837967660639e-05,3.27605896295964e-06,0.678426185277944,0.321447216657636,7.94840377960337e-05,0.390984094843862
TCGA.ZF.A9R1.01,0.138983275048601,0.421987760148807,0.295348706185631,0.142289644906854,0.00139061371010713,0.798512043202726
TCGA.ZF.A9RF.01,0.0775588145100165,4.9286819973195e-07,0.897721590390442,4.53393950577012e-06,0.0247145682918361,0.240252703319761
TCGA.4Z.AA7Q.01,0.0963408549728102,0.184777911717491,0.392468357060875,0.268235543970343,0.0581773322784806,0.884132106742084
TCGA.E7.A519.01,0.949304919245546,7.28849932581172e-06,9.49222469310743e-06,7.44366636783499e-05,0.0506038633667568,0.125061979945712
TCGA.G2.A3VY.01,0.0242315977830154,0.360016381849945,0.602100700367846,8.82017438364327e-06,0.0136424998248095,0.510795765236892
TCGA.C4.A0EZ.01,0.0216630905662137,1.1127387795706e-06,0.978321547683712,2.45789105216617e-06,1.17911202423498e-05,0.0650156664340194
TCGA.XF.A9SY.01,0.00075293145272461,0.00033036110448394,0.725619313195844,0.271520927588149,0.00177646665879842,0.376545859930431
TCGA.FD.A43U.01,0.407674192811956,0.290192332540592,0.302070591345462,4.20746980661411e-05,2.08086039232663e-05,0.675444083330742
TCGA.4Z.AA7S.01,0.104510417397262,0.490556588867587,0.335243100204035,0.0610663679759153,0.00862352555520001,0.722936175432535
TCGA.XF.AAML.01,0.0502224020124612,0.31404080814717,0.592632674216746,4.00575902236689e-06,0.0431001098646003,0.596222122290479
TCGA.DK.A6B5.01,0.11409951117496,0.186304246950922,0.366330590669437,0.213694394480418,0.119571256724264,0.939667544229191
TCGA.KQ.A41R.01,0.297322308192027,0.472134051555212,0.220332331282162,0.000151442582036078,0.0100598663885631,0.680886599903712
TCGA.4Z.AA87.01,0.0859604979752122,0.346567207995746,0.567433946889492,2.61446901877373e-05,1.22024493616165e-05,0.559279137028843
TCGA.FD.A6TE.01,0.0476137369524821,0.304582417024105,0.515385569248055,0.038089193916642,0.0943290828587158,0.74302512715615
TCGA.YC.A9TC.01,0.178891228086248,3.9972156436004e-07,0.736844884412778,0.0828398620907292,0.00142362568867964,0.465107918585306
TCGA.BT.A2LA.01,0.071701891377382,3.52432335914223e-07,0.928297015053279,4.57828552624148e-07,2.83308450238351e-07,0.16032698798671
TCGA.FD.A3NA.01,0.0604625281621917,0.409126162682306,0.416478372188681,0.0919553451897211,0.0219775917771002,0.7477419707282
TCGA.BT.A42F.01,0.0813297770226503,0.182577769868537,0.254461863192708,0.464220740537713,0.017409849378392,0.801264117091648
TCGA.2F.A9KW.01,0.0186845957440958,0.276155130681281,0.705144617411474,1.23758125289195e-05,3.28035062066783e-06,0.420174825342244
TCGA.4Z.AA80.01,0.0130141378001866,0.461168305710989,0.521915904734005,0.00378853813318168,0.000113113621637734,0.481516875229337
TCGA.XF.A8HD.01,0.0516834210168803,0.658508238713498,0.200358072973715,0.000194322783295025,0.0892559445126117,0.601240502525969
TCGA.2F.A9KT.01,0.11200895019954,0.235507800678401,0.417791850009484,0.234591369424123,0.000100029688451701,0.802422362592348
TCGA.E7.A677.01,0.141741930319363,0.334183136599698,0.364604234228432,0.15947038251828,3.16334226678215e-07,0.810130961539989
TCGA.SY.A9G0.01,0.0452024427461762,0.305427069753361,0.586811647445204,0.0538822997634419,0.00867654029181656,0.629785846062717
TCGA.CU.A0YR.01,9.79714614154411e-07,0.602982777163894,0.372092520127527,0.0249229608181666,7.62175798141749e-07,0.475273564074451
TCGA.K4.A83P.01,0.0653405264315248,0.472543304954818,0.449647986317441,9.08771124043274e-07,0.0124672735250924,0.588134203780242
TCGA.ZF.A9RL.01,0.128039115104243,0.465889587324708,0.359640493720912,0.0462462422477425,0.000184561602395125,0.702448621285614
TCGA.FD.A43S.01,0.436663186279928,0.313541753010371,0.206897436280578,2.0178782005846e-05,0.0428774456471172,0.737337729607592
TCGA.GV.A3QH.01,0.0468105838922583,0.442693749069951,0.495913662693222,7.83213725819518e-05,0.0145036829719867,0.567905644443038
TCGA.4Z.AA84.01,0.0943166799878198,0.01746672706807,0.726685994635476,0.0897960324052847,0.0717345659033495,0.57835205893231
TCGA.K4.A4AC.01,0.0649122731181218,4.16157179327187e-06,0.512797520999873,0.421891133576545,0.000394910733667174,0.551274988256456
TCGA.K4.A6MB.01,0.0446888388053108,0.384412306146528,0.475520121211126,0.0890441188165374,0.00633461502049765,0.68801162257626
TCGA.S5.A6DX.01,0.654144889362716,0.345850557060562,4.23415938977583e-06,1.66494480104496e-07,1.5292285240758e-07,0.400698940233342
TCGA.GU.A766.01,8.23719763513715e-06,0.215290604276198,0.754826504013002,0.0298746545131642,0,0.402577116471069
TCGA.HQ.A5ND.01,0.0701216340910368,0.104033870451604,0.517930209099687,0.284429469263549,0.0234848170941236,0.750723049598408
TCGA.E7.A7XN.01,0.159731813560289,0.111415758685073,0.233213407657768,0.377254576766844,0.118384443330026,0.930370854020482
TCGA.XF.AAMW.01,1.08305359307798e-05,0.0389951174679438,0.328119488141435,0.63283661718543,3.79466692610845e-05,0.486021614587364
TCGA.GC.A4ZW.01,0.0511100460092381,0.118818055492074,0.769552988163484,0.019291547939846,0.0412273623953577,0.505951073148129
TCGA.G2.AA3B.01,0.195766078065537,0.381343542044681,0.418740636699491,0.00108161719131294,0.00306812599897875,0.66890081346298
TCGA.DK.A2HX.01,0,0.314555096817465,0.178925976693297,0.00877097288086894,0.49774795360837,0.658930392333788
TCGA.GC.A3RB.01,0.0659673974104985,0.130729788102089,0.681222195609801,0.109388532812658,0.0126920860649536,0.624010899180712
TCGA.GV.A40E.01,0.0624415569438237,0.0810940677377831,0.69878449365448,0.135383456212604,0.0222964254513095,0.610695200038567
TCGA.XF.A9SU.01,0.283064947045922,0.330553907470647,0.386223478473599,8.3828577362946e-06,0.000149284152095964,0.678504786164622
TCGA.ZF.A9R9.01,0.190040583102424,0.482265042407095,0.319463984997138,0,0.00823038949334412,0.665643600180749
TCGA.DK.A2I2.01,0.00050883758519831,2.1967922418396e-05,0.541757957425231,0.389263546807477,0.0684476902596753,0.551112951566886
TCGA.FD.A3SQ.01,0.070084678178994,0.508182214168086,0.240146552172056,0.159507323719061,0.0220792317618021,0.77657434513383
TCGA.XF.A9SH.01,0.21370279997181,0.397421086177647,0.244211146916499,0.14465927738225,5.6895517934596e-06,0.820486722342553
