S3,S8,S6,S4,S9,ITTH
TCGA.CA.5256.01,0.0156401691417382,0.978686739152528,0.000274940986828025,4.12150850265845e-05,0.00535693563387918,0.0725711049883427
TCGA.AZ.6599.01,0.342783513765514,0.0536962736115609,8.5453824537225e-06,0.546863540129146,0.0566481271113259,0.631789941437077
TCGA.AA.3655.01,0.282930715615379,0.070590391422297,0.355970221339413,0.271113890487493,0.0193947811354186,0.834052705881977
TCGA.A6.6137.01,0.407141921952129,0.0154886573307519,0.48665684363478,0.0690834465661873,0.0216291305161517,0.65142987446983
TCGA.CK.4952.01,1.19751975425027e-05,0.162591020782724,0.0958480169472062,0.726085845822048,0.0154631412504792,0.507710776477444
TCGA.A6.5657.01,0.116807256454206,0.161259032050978,0.485099708911562,0.219012699347261,0.0178213032359925,0.807959732311929
TCGA.AD.6963.01,0.0113043781255207,0.0942262980259145,0.894235886881489,5.39981979155987e-07,0.000232896985096924,0.233099471407174
TCGA.A6.6138.01,0.072269267240128,0,0.890636785249651,0.0297325785259957,0.00736136898422508,0.269479219649303
TCGA.A6.A567.01,0.112100577169874,0.119371341151974,0.666899047861601,0.0781160285961158,0.0235130052204348,0.656473836550586
TCGA.D5.6928.01,7.21352498205795e-05,4.24444991671518e-05,0.386753888901854,0.613080658895205,5.08724539532885e-05,0.415658536255362
TCGA.AZ.6598.01,0.0317343915428208,0.139934001205206,0.261954843058136,0.544873109615637,0.0215036545782004,0.713919687906178
TCGA.D5.6931.01,0.152950081543928,2.45398270520418e-06,0.450635044582965,0.360773125087848,0.0356392948025527,0.704009886324131
TCGA.G4.6295.01,0.000326477044777972,0.138139704928348,0.683128742551613,0.177642987190545,0.00076208828471658,0.527403264135787
TCGA.AA.A01X.01,0.400673862971453,0.115705393258538,0.437293325785358,0.046313027854365,1.43901302851315e-05,0.695994010568653
TCGA.AZ.4313.01,0.0405701564554768,0.394118905270883,5.10069982585722e-05,0.4760710354821,0.089188895793281,0.662584818060215
TCGA.DM.A0XD.01,0.122251743659464,0.324596985470436,0.444596471232008,0.027952533785749,0.0806022658523427,0.798734120044643
TCGA.D5.6535.01,0.317004070108775,1.46967680055988e-06,0.478834842605235,0.0715333815581662,0.132626236051022,0.729093482512316
TCGA.DM.A28E.01,0.127733149647547,0.138019823045721,0.63615929951944,0.0721637790849586,0.0259239487023327,0.688633696793559
TCGA.G4.6307.01,0.181292829552314,0.247557194108352,0.532278742754564,1.40572417492364e-06,0.0388698278605958,0.694093187848462
TCGA.CM.5868.01,0.175179993071437,0.233321469661064,0.559964471889633,0.0272117331265514,0.00432233225131479,0.677896776118099
TCGA.CK.4947.01,0.155516720112318,0.106168643231329,0.406669833205113,0.326924110550801,0.00472069290043938,0.797930725031023
TCGA.D5.5540.01,0.000417436244797286,0.725393091481924,0.222456255578241,0.0513510069215819,0.00038220977345618,0.451063953235955
TCGA.A6.4105.01,0.123460630416498,0.252194316173323,0.603217225674441,0.0204425110896281,0.000685316646109832,0.618290891461332
TCGA.A6.6651.01,0.000521895650998893,0.257134192113168,0.70066208436773,0.0376171031177148,0.00406472475038759,0.464878197221173
TCGA.G4.6625.01,0.120491022313225,2.65617783998453e-06,0.857610250049135,0.0218902595762983,5.81188350172543e-06,0.292323700601381
