S3,S7,S10,S2,S4,ITTH
TCGA.CR.7383.01,0.135252864386315,0.194295688973119,0.141352352546767,0.157290204393555,0.371808889700244,0.947079295429865
TCGA.CR.7398.01,0.522569313973591,0.0889684978747541,1.11020501787683e-05,0.375647693541003,0.0128033925604731,0.607743567912477
TCGA.CV.A6JT.01,0.0020979224787681,0.00335302771616498,0.967885388509767,0.00521255600790692,0.0214511052873934,0.10777145315312
TCGA.HD.8635.01,0.163703117956089,2.14310880677416e-05,0.0165470592641492,0.277932434699993,0.541795956991701,0.653805385081421
TCGA.CR.6481.01,0.778751741472494,0.0289969128376148,0.0361204721122744,0.022882554168114,0.133248319409503,0.479893200426021
TCGA.CR.7395.01,0.133446587705657,0.00217310475090274,0.0460064545001172,0.389439202492513,0.42893465055081,0.717068731484154
TCGA.BB.7863.01,0.0154265507420615,1.88176564693159e-05,0.0555456602662309,0.238339144775762,0.690669826559477,0.511061516357402
TCGA.CV.7427.01,0.204656400381432,0.0153375289971813,0.000343837443047645,0.235424121091099,0.544238112087241,0.660536492175275
TCGA.CV.6436.01,3.62202472790762e-05,3.46793713420656e-05,0.744909725524591,0.25500525427553,1.41205812580774e-05,0.353360427694679
TCGA.CN.A63V.01,0.281887411995887,9.77770737948691e-05,0.235814809703734,0.225107017686408,0.257092983540176,0.859563745902313
TCGA.BA.A6DE.01,0.35208678639769,1.51421375345762e-06,0.0419162329176987,0.292881481988945,0.313113984481912,0.760362633725914
TCGA.CV.7177.01,0.115574808073464,0.432766551222817,0.00167341808010756,0.0752878487040674,0.374697373919545,0.736344078815981
TCGA.P3.A6T4.01,0.397129759975857,0.0302795194791231,0.0481942161326616,0.0985093074981638,0.425887196914194,0.752204697709178
TCGA.DQ.5631.01,0.00497695316676208,0.000399706540572472,0.00101678793548332,0.71329811106954,0.280308441287642,0.393946992459085
TCGA.CQ.A4CA.01,4.08660695395636e-05,7.31300446500569e-05,0.24015253334129,2.13630972416793e-05,0.759712107447279,0.343407463853137
TCGA.CR.7365.01,1.52306319072226e-06,0.00036845741696003,4.63963173018546e-06,0.522289944238713,0.477335435649406,0.431977746486245
TCGA.F7.A61W.01,0.138569950981756,8.42108882553643e-07,0.0618772989609157,0.42679631062153,0.372755597326915,0.731498150024852
TCGA.CV.6937.01,0.440404530975209,0.00638094983093806,0.164552988703504,1.16032579077869e-06,0.388660370164557,0.657167107225831
TCGA.CQ.7069.01,0.000217268039602348,0.0040952849569838,0.00110717919204023,0.84152811437284,0.153052153438533,0.288518452743071
TCGA.D6.A74Q.01,0.48563617755167,0.0145116928848679,0.131681871981252,0.24057483916998,0.12759541841223,0.798181232133068
TCGA.KU.A66T.01,0.0971685220270014,0.0177679948102623,0.0744937294740302,0.202073592704406,0.6084961609843,0.694046260523039
TCGA.CN.4728.01,0.499232633009094,0.284480027851668,0.0550368008175111,1.43768457753158e-06,0.161249100637149,0.719684010541205
TCGA.CR.7401.01,0.162122755900785,0.0048815572651617,0.111723189680994,0.116468792235964,0.604803704917095,0.696121442420503
TCGA.CN.A63T.01,0.398977773168312,0.150956977248111,0.151971281179809,0.292870823714503,0.00522314468926467,0.823545735352156
TCGA.CV.5976.01,0.241971148641427,0.00471032956364574,0.0850385420344501,0.229645492072265,0.438634487688213,0.793756912624166
TCGA.CV.7254.01,0.368610787560121,0.546421837902238,0.0843232852397626,5.68647480384239e-05,0.00058722454983977,0.566397085645845
TCGA.BB.A6UO.01,3.20355819517145e-06,2.15331676609343e-05,0.281291800457223,0.375970662312286,0.342712800504634,0.678399171290468
TCGA.CR.6470.01,0.944011327703362,0.000124968897916837,0.00273456001526621,2.73504155296059e-05,0.0531017929679253,0.141554506140694
TCGA.CV.7411.01,0.115443892487819,0.0142581232527572,0.0907949667687349,0.0313442271106888,0.74815879038,0.530173446975786
TCGA.D6.A6EP.01,0.510068802067133,2.27506297976996e-05,0.462701482868265,0.0271239680704181,8.29963643862806e-05,0.496349243941629
TCGA.BB.A5HZ.01,0.390838995513521,0.00368772132980841,0.132128208762659,0.305769307417248,0.167575766976764,0.818249264349272
TCGA.CR.6480.01,0.897572354387722,0.00268587333935956,0.000203319389643695,5.75474023686772e-05,0.0994809054809058,0.214213879964313
TCGA.IQ.A61E.01,0.0194350333391761,0.00131839850836809,0.111269666198717,0.600061172081502,0.267915729872236,0.614493027189781
TCGA.CV.7415.01,8.20643872298671e-07,7.48372625263839e-07,0.173443803919547,2.80258110642802e-06,0.826551824482849,0.286663077601661
TCGA.CN.6988.01,0.810033391077191,0.0301579036888193,1.92618554822443e-05,0.126446051516934,0.0333433918615736,0.404699746787816
