S5,S3,S2,S4,S6,ITTH
TCGA.B1.A657.01,0.729897140800675,3.14384245389395e-05,0.147290101078966,0.00212938777660458,0.120651931919215,0.484956604458625
TCGA.A4.A5Y1.01,0.497700266449196,6.84123910566675e-05,0.0122141347240524,0.182354853619592,0.307662332816103,0.667763954469163
TCGA.Q2.A5QZ.01,6.33857137028166e-06,4.42671134106985e-06,0.915119398796493,0.0846835847088644,0.000186251211930927,0.181412074878442
TCGA.A4.8312.01,0.143406260594103,0.534128393984149,0.123870618072315,2.35875700671134e-06,0.198592368592426,0.741394798645012
TCGA.UZ.A9PX.01,0.733638975049356,8.64332397980131e-07,0.135276510749983,1.39733658657915e-06,0.131082252531677,0.474842002383197
TCGA.A4.8311.01,0.872697494542195,9.43364236282435e-08,0.0663691695039792,0.0609331948037414,4.68136604062056e-08,0.291624710413917
TCGA.GL.A9DD.01,0.577150711101114,0.000133255519954029,0.15872780143944,0.0709739923992685,0.193014239540223,0.693306702715448
TCGA.F9.A4JJ.01,0.237439346754303,5.12315469780353e-07,0.0544761253969784,0.644119202584903,0.0639648129483461,0.595940357400768
TCGA.IA.A83V.01,0.33548692339291,0.0202570851147397,0.339091470756054,0.189981647978629,0.115182872757668,0.855319365850528
TCGA.SX.A7SO.01,0.28419604915868,0.0167825965620085,0.0410274277309516,1.73197867297432e-05,0.65797660676163,0.517431072507173
TCGA.PJ.A5Z9.01,0.598769807056484,7.317983567937e-08,0.229070453946721,9.00833650194676e-06,0.172150657480457,0.588819287152273
TCGA.F9.A8NY.01,0.0795340165388566,0.0602774406178247,0.127410414049034,0.533205469476381,0.199572659317904,0.8015805934877
TCGA.G7.7502.01,0.697273270255493,0.0479215448969182,0.123672229623077,0.0343575285439966,0.0967754266805147,0.619675088178187
TCGA.MH.A856.01,0.562502017251357,0.0721980097356783,0.187209997890904,0.177753334395929,0.000336640726131898,0.706341734326927
TCGA.BQ.5879.01,0.116582713607778,0.151559141179136,0.000520030026467204,0.730896501868413,0.000441613318205736,0.480279847005989
TCGA.MH.A855.01,0.411440019112244,0.0329994510790125,0.191524221777401,0.0935951656903441,0.270441142340998,0.851147164411146
TCGA.2Z.A9JP.01,0.291402961191239,1.3639734261519e-06,0.459993124184165,1.90272089626258e-05,0.248583523442207,0.660333839233871
TCGA.DW.7840.01,0.732570469914729,0.0331852564849824,0.192436721722076,0.0150281536383172,0.0267793982398955,0.508347590116884
TCGA.DW.5560.01,0.630854457660745,0.00126828400987161,0.308512261483188,0.0593433335353789,2.16633108166088e-05,0.515542115776181
TCGA.BQ.5892.01,0.21444324947148,0.143330310444625,2.48682625337777e-06,0.0973540686894823,0.544869884568159,0.724645926716776
TCGA.BQ.5875.01,0.251137258681543,0.0428932550767162,0.0347965849810132,0.0532712126275691,0.617901688633159,0.65403100194815
TCGA.HE.A5NJ.01,0.81103658079331,0.0401860118170453,0.0510208507236395,0.0977257547394551,3.08019265496909e-05,0.421536103802785
TCGA.G7.6790.01,0.491957961113891,8.02732899448852e-06,0.0345461312475129,1.46019612204748e-06,0.47348642011348,0.509089116732696
TCGA.B9.A5W9.01,0.608635761405077,0.0136234108128356,0.109382557447321,0.0756141408754959,0.192744129459271,0.693014886921314
TCGA.GL.8500.01,0.595741490852059,1.24620228465309e-05,0.12201405015077,0.05381658421188,0.228415412762445,0.658560574103727
TCGA.V9.A7HT.01,0.669569500408856,3.45337867060118e-05,0.104096545968123,0.114037721530492,0.112261698305824,0.619815048749267
TCGA.P4.AAVK.01,0.31515795414601,0.0312447023363649,0.201654514810539,8.5721062535788e-08,0.451942742986023,0.717033868379592
TCGA.PJ.A5Z8.01,0.62449412816021,8.29701654979913e-09,0.046328015080312,0.259405823994718,0.0697720244677436,0.6040259022292
TCGA.B9.A44B.01,0.285426456166979,0.0609036449284558,0.169314821182752,0.168906988093388,0.315448089628425,0.927861462471619
TCGA.UZ.A9Q1.01,0.257652609820312,0.0437210029781434,0.0324699605637977,4.61043983961917e-06,0.666151816197908,0.53945466741496
TCGA.A4.A772.01,0.717359251842958,7.75260140755694e-08,0.20903476271548,7.62071292169167e-08,0.0736058317084191,0.470677613136023
TCGA.5P.A9KH.01,2.52560614738603e-06,0.689368267047965,0.101333834383751,1.92804046595109e-05,0.209276092557476,0.50700237634769
TCGA.UZ.A9PJ.01,0.78791839351867,0.15650923384375,0.0555691026235989,1.33787917926792e-06,1.93213480187355e-06,0.396860591852062
TCGA.2Z.A9JM.01,0.644192622551708,0.00182656819547106,0.246795206066051,0.0412706185802262,0.0659149846065441,0.590841999059868
TCGA.A4.8518.01,5.56280772097902e-06,4.85120390862239e-06,0.00424952941165375,4.15163686655821e-06,0.99573590493985,0.0171734244359718
TCGA.BQ.7059.01,0.725267541006394,0.035437884733274,0.0517823754851655,0.0274884088039777,0.160023789971189,0.557130203519663
TCGA.B3.4103.01,0.795010126709726,0.00625011924253178,0.00048678662361212,0.026605434380746,0.171647533043384,0.383235594873363
TCGA.BQ.7062.01,0.711305954147036,0.0980795106997932,0.147549220022984,1.44209641883602e-05,0.0430508941659985,0.55172532142727
TCGA.Y8.A8S1.01,4.2306583322523e-05,0.00285442821733261,0.424735415055397,0.0370074966733091,0.535360353470639,0.5202732569698
TCGA.2Z.A9J1.01,0.59741510460838,0.0295829236458985,0.275979043204507,4.70817080182669e-05,0.0969758468331958,0.617575024114258
TCGA.BQ.5891.01,0.511107195719916,2.84902001011213e-05,0.0140472023301849,0.173296172477676,0.301520939272122,0.663896779393892
TCGA.Y8.A8S0.01,0.856802876629738,0.0192389759309898,0.0915925624231774,0.0154056102047235,0.0169599748113709,0.348445719920081
TCGA.DW.7837.01,0.72914616713257,0.0219349087535501,0.11589019890114,1.7620383047205e-07,0.133028549008909,0.517081692611902
TCGA.P4.AAVM.01,0.165551035306184,2.24239653822797e-06,0.150909123600995,4.17596973963007e-07,0.683537181099309,0.523924496871182
TCGA.GL.A9DE.01,0.211680141779645,0.0223086435939506,0.0587520180404424,3.32532518008891e-06,0.707255871260782,0.512628470078428
TCGA.B1.A656.01,2.78289285845431e-09,6.24049973847695e-09,0.667590785220016,0.0679553927953859,0.264453812961205,0.499697881210867
TCGA.BQ.7053.01,0.507069427303142,0.0740768693529477,0.0775648566153346,0.0990879484263611,0.242200898302215,0.812681600471212
TCGA.2Z.A9JQ.01,0.248173547426616,0.0431386976753144,0.708687753903794,1.77927823096669e-10,8.16347752376047e-10,0.450772571283431
TCGA.EV.5902.01,0.701686788494672,0.0331442596067149,0.102164912523805,0.0744658134238479,0.0885382259509604,0.622964639629243
TCGA.MH.A857.01,0.0803230690246013,0.424082721319217,0.108373753713416,1.22638619650352e-05,0.387208192080801,0.729872151291313
TCGA.IZ.8196.01,0.877913916597905,0.0584967325430488,0.000477267159376187,0.0629907545036575,0.000121329196012984,0.285359619066469
TCGA.DW.7842.01,0.875390888255253,0.0777634622691287,4.96069771532937e-05,0.046796042498266,1.99403386665303e-13,0.285127307642551
TCGA.SX.A7SM.01,0.354674398768631,0.00769298302842064,0.188539806666895,0.171602350613794,0.277490460922258,0.856105979872413
TCGA.UZ.A9PZ.01,0.746411320938892,2.09659051268266e-05,0.240840607689187,0.0127006415996363,2.64638671584349e-05,0.383445554998659
TCGA.J7.8537.01,0.164877190745414,1.98059784050846e-05,0.0496042649585708,0.411109883362074,0.374388854955536,0.732967359150913
TCGA.A4.A48D.01,0.0420415574805914,0.00117577979019953,0.193021827539686,2.49965997994374e-07,0.763760585223526,0.412886369737723
TCGA.IA.A83S.01,0.253399186085822,0.0513008007710194,0.2640294810248,0.0641344264949479,0.36713610562341,0.867307538512387
TCGA.UZ.A9PR.01,0.825327197814476,0.0322590395762006,0.0894022869915477,0.0295068791427825,0.0235045964749931,0.420769398837571
TCGA.B3.3925.01,0.820607905302663,0.0373348035511676,0.00144534144111028,0.0414637644149384,0.0991481852901207,0.40732618981751
TCGA.A4.7734.01,0.775780262203221,0.079241306530074,2.66512960033009e-07,0.144977345213688,8.19540057422238e-07,0.421171507862073
TCGA.DW.7841.01,0.710103432324442,0.0168499792387161,0.261065179540903,0.0119811091317255,2.99764212749461e-07,0.444581352464525
TCGA.G7.A4TM.01,0.70625634828483,0.0469465225211383,0.180802936314017,0.0658652829630689,0.000128909916945449,0.546010928900069
TCGA.IA.A83W.01,0.662071129736853,0.0661984189834591,0.135663327483728,0.136062148944347,4.97485161363657e-06,0.618362524335414
TCGA.DZ.6131.01,0.341402440095083,0.0387870299647878,0.0783483503599388,0.128110087227707,0.413352092352483,0.820718994925621
TCGA.HE.7130.01,0.0904208044033196,0.0614328384156825,0,0.848146357180998,0,0.328303465428913
TCGA.AL.3466.01,0.254524780164323,2.12913378608936e-06,0.0630622060334535,0.471900214776765,0.210510669891673,0.748710091407284
TCGA.BQ.5878.01,0.223664476967343,0.0133096998814408,5.85161466028136e-07,0.426165525357705,0.336859712632045,0.697435893818925
