S6,S3,S2,S5,S7,ITTH
TCGA.AB.2872.03,1.03118450378716e-06,0.130586630891623,0.138776596485496,0.717562971853438,0.0130727695849389,0.518674932984139
TCGA.AB.2921.03,0.431203642285003,0.250710305112826,0.205148342016768,0.112934674239337,3.03634606597861e-06,0.795847450389639
TCGA.AB.2909.03,0.197769053189917,7.42799384739563e-06,0.299401514923829,0.0530040421096934,0.449817961782713,0.743570691054815
TCGA.AB.2882.03,0.10212085948082,2.9647231943333e-06,0.672461990205955,0.0743385281836259,0.151075657406405,0.608050971149095
TCGA.AB.2845.03,0.587933462071557,0.0412862724339722,0.210123686289813,0.0898970179866545,0.0707595612180041,0.730468875478303
TCGA.AB.2865.03,0.16079246034243,6.1092676744195e-05,0.512719680538907,4.84072337182879e-05,0.326378359208201,0.62313673600763
TCGA.AB.2851.03,0.15474623288287,0.50827742171068,0.336607181207411,0.000333997691082044,3.51665079581403e-05,0.622740475964688
TCGA.AB.2930.03,0.427845862535332,0.176253604098707,0.262131076149263,0.0457098649184091,0.0880595922982895,0.854429727648732
TCGA.AB.2887.03,0.225185326711544,2.69144380162701e-06,0.302282218923314,6.08791469058777e-06,0.47252367500665,0.653461255252214
TCGA.AB.2817.03,0.403734974404602,2.18858111187995e-05,0.229660082643341,1.82440320926784e-05,0.366564813108846,0.666296481324728
TCGA.AB.2862.03,0.228047920905119,0.000146464789150155,0.218919789517264,0.552725540390576,0.000160284397890615,0.621367025821557
TCGA.AB.2885.03,3.02907564857699e-05,7.11436427760771e-06,0.679126865590685,3.82677567800059e-05,0.320797461531772,0.390387354522838
TCGA.AB.2821.03,0.0670189307125152,0.127614704381183,0.453965209445793,0.11111250789951,0.240288647560998,0.863123541380135
TCGA.AB.2819.03,0.921675168776587,1.14125503830773e-06,2.75162888676539e-06,0.0783194600267442,1.47831274434367e-06,0.17069389425102
TCGA.AB.2880.03,0.292493055020435,0.179520515320215,0.379838105672421,0.0769705993042092,0.0711777246827201,0.88294431304201
TCGA.AB.2867.03,0.334767711869435,0.299970579743008,0.0520404841185538,0.147003857883594,0.166217366385409,0.908060069552101
TCGA.AB.2890.03,0.130478929436892,2.26738261489974e-06,0.391453877954429,5.07172059138442e-06,0.478059853505473,0.612496114462859
TCGA.AB.2858.03,0.530591274631367,2.92716828085111e-05,0.1946435649097,0.165537119776614,0.10919876899951,0.74229893187942
TCGA.AB.2868.03,0.0560210061438645,3.41646792529019e-06,0.579483086325862,0.279407763773467,0.0850847272888806,0.648425166394435
TCGA.AB.2929.03,3.48592309617529e-05,4.78396129604984e-05,0.652162610484584,0.000206784941183235,0.347547905730311,0.403040893760987
TCGA.AB.2814.03,0.116948678998869,1.40116466956114e-05,0.495428801811702,4.34836810881542e-06,0.387604159174625,0.600519999718716
TCGA.AB.2863.03,2.97991763711857e-07,0.313819946204574,0.179148433234098,0.293013778872864,0.2140175436967,0.845879040844707
TCGA.AB.2860.03,0.0094876255736429,0.472964562331393,0.36036582567633,0.0901334799728371,0.0670485064457972,0.723363781588029
TCGA.AB.2874.03,0.15660056613894,0.100259197882695,0.256053648514274,0.417050956099423,0.0700356313646681,0.882742627995065
TCGA.AB.2933.03,0.347364772475133,0.247881087913023,5.15004342748526e-05,9.27438268185315e-05,0.40460989535075,0.671362466025187
TCGA.AB.2959.03,0.0146649372588382,1.48301221771597e-05,1.72174779161157e-05,0.0190889196308529,0.966214095510216,0.106278338672717
TCGA.AB.2931.03,0.171242541618981,0.226669445159057,0.520934263062896,0.0337978649629225,0.047355885196144,0.768756481948404
TCGA.AB.2897.03,0.239098121294496,4.728207226787e-06,0.00557431477787182,0.755322093119544,7.42600861772497e-07,0.362281485469832
TCGA.AB.2822.03,0.226413010923766,7.0364265664363e-06,0.416041032186741,0.018650871741797,0.338888048721129,0.709703198932793
TCGA.AB.2924.03,0.169613949946574,0.639631209064189,0.133315344095172,0.0517144375348947,0.00572505935917055,0.64502927109807
TCGA.AB.2810.03,0.762318468534951,0.00248210128949076,0.00289016740857617,0.232307495892061,1.76687492054148e-06,0.359003497915728
TCGA.AB.2842.03,8.59980951598142e-05,0.90256688183843,0.000369786249170594,0.0536130966620795,0.0433642371551598,0.241825887649525
TCGA.AB.2889.03,0.465562643009528,0.105545476966673,0.246255548097946,0.0928294608463333,0.0898068710795192,0.854617848401611
TCGA.AB.2908.03,0.17927519059625,0.014807329668919,0.479669602906149,0.151657468295519,0.174590408533163,0.816232574741521
TCGA.AB.2841.03,6.184319293214e-05,0.163714114020048,0.17914665688386,0.65705822236353,1.9163539629869e-05,0.547442560893571
TCGA.AB.2943.03,8.63898868069252e-07,0.0588687850580671,0.670830207687981,1.42888980700282e-06,0.270298714465277,0.489741046604668
TCGA.AB.2920.03,0.0676940578373735,9.54844779400286e-07,0.828749889943787,0.103550723962563,4.37341149755423e-06,0.355926717428785
TCGA.AB.2849.03,0.00047142015267718,6.7824344356125e-05,0.0604730239582232,0.000540280671181199,0.938447450873562,0.147632532058098
TCGA.AB.2834.03,1.87061632880155e-06,0.926335164283392,4.75692976363301e-05,0.0668593911425815,0.00675600466006134,0.17770679975008
TCGA.AB.2869.03,0.266531388417705,0.132072037475846,0.465926896693511,0.135454508693251,1.5168719685725e-05,0.774550605679481
TCGA.AB.2838.03,0.0119077780122129,0.109095399637647,0.734044223092381,0.144952460956095,1.38301664817918e-07,0.497922167810994
TCGA.AB.2830.03,0.411864323321954,0.123347498436943,0.306069933795698,1.98913683942178e-07,0.15871804553172,0.794064127278501
TCGA.AB.2820.03,1.62569732018899e-06,0.0401689098567702,0.583819290552919,1.67315072607144e-06,0.376008500742264,0.503998359342172
TCGA.AB.2854.03,0.417745409016161,0.416618466103349,3.78716704060905e-08,0.0994474021582118,0.0661886848506073,0.70750409588289
TCGA.AB.2950.03,0.422702341303159,1.86006968279175e-08,0.18955982510933,0.120170889918671,0.267566925068142,0.799416194646557
TCGA.AB.2927.03,0.461938979711714,0.0184601414018821,0.0976988242560099,5.26063463724378e-05,0.421849448284022,0.635200107540399
TCGA.AB.2925.03,0.399792831005617,0.529115065721788,0.0503101759549275,0.0202001877276339,0.000581739590033629,0.582130061805028
TCGA.AB.2844.03,0.383870222293012,0.319579614025286,0.15877276657254,0.137254304449616,0.000523092659546568,0.808239850048075
TCGA.AB.2888.03,0.336967591572133,0.466203854589709,0.136338517175404,0.0511527767829712,0.009337259879783,0.739203445112342
TCGA.AB.2875.03,0.445549098041477,1.69886161027862e-05,0.293864838576691,0.0916895899972766,0.168879484768453,0.770274649077953
TCGA.AB.2808.03,0.0782549161747923,0.65735578432979,4.57759809466639e-05,0.234019095925494,0.0303244275889766,0.57256063129086
TCGA.AB.2856.03,0.456516609811006,0.293154488931339,0.173178842001311,0.0761233526664593,0.00102670658988455,0.760797057717715
TCGA.AB.2823.03,0.000205295081898371,0.131128906311152,0.213089608395399,0.62007696318269,0.0354992270288601,0.629060620211131
TCGA.AB.2954.03,0.339848655269785,0.219350455478377,0.328042149166689,0.0670159862161338,0.0457427538690158,0.862060414264021
TCGA.AB.2917.03,5.18999370574462e-06,0.111135331605725,0.0465666757538288,9.35616947551638e-06,0.842283446477265,0.330375543231753
TCGA.AB.2913.03,0.172093491051563,0.121263008346285,0.293678250665536,0.291844834605246,0.121120415331371,0.952884988211398
TCGA.AB.2904.03,4.4293065431699e-06,2.77319888052194e-07,0.758448254796714,5.98447047765474e-06,0.241541054106377,0.343590926768744
TCGA.AB.2832.03,0.61712312530328,0.235880580981593,4.25658431151587e-08,0,0.146996251149283,0.571897645859187
TCGA.AB.2915.03,0.201493943282668,0.0967555692258555,0.614565176629838,1.23664008572785e-05,0.0871729444607819,0.659109837665544
TCGA.AB.2805.03,0.113868932826695,0.386796703540527,5.15908041029608e-06,0.000111177504077838,0.49921802704829,0.598154777910525
TCGA.AB.2859.03,0.263691404655112,0.111845665237084,0.546851097500358,0.0776118251265664,7.48087970858036e-09,0.698973054309299
TCGA.AB.2818.03,9.37114992680655e-06,0.812624822479666,0.0617556978288948,0.12560751383959,2.59470192242958e-06,0.373607105181074
TCGA.AB.2938.03,0.569796255685341,0,0.430203744314659,0,0,0.42460305500724
TCGA.AB.2898.03,2.67473852555073e-07,0.171017511429181,0.535473705608142,0.221223206830138,0.0722853086586869,0.720819793799082
TCGA.AB.2857.03,0.17702766300168,0.0814779551956147,0.520014256219948,0.107973498912353,0.113506626670404,0.831448188595667
TCGA.AB.2853.03,0.324091386118795,0.47322589405749,0.0675252268588554,0.134776167085589,0.000381325879270655,0.729653731811603
TCGA.AB.2846.03,0.426342701467709,0.211111904621551,0.138908843391946,0.109563016187443,0.114073534331351,0.904621058960162
TCGA.AB.2952.03,0.27668535151406,0.01138589124174,0.711187227668026,0.000663574169989609,7.79554061843054e-05,0.406627660071644
TCGA.AB.2813.03,4.18452434801129e-08,0.621839917397134,0.207360759164133,0.138453414271631,0.032345867321858,0.625311427671502
TCGA.AB.2939.03,0.0586787551347309,0.15260594834963,0.462434358955919,0.141962421269813,0.184318516289906,0.869103046207063
TCGA.AB.2807.03,0.301397024733215,0.0438909206413051,6.89037244918882e-06,0.0188748242258941,0.635830340027137,0.535349106240946
TCGA.AB.2828.03,0.150777589771702,0.769991259658287,8.80655614333569e-05,7.71566400156038e-05,0.0790659283685619,0.427914321730345
TCGA.AB.2824.03,0.41383092880031,0.457651788027456,0.128202317943889,6.96606084353943e-05,0.000245304619910202,0.614435843114069
TCGA.AB.2803.03,0.14490658564819,0.0620451900692871,0.000346262414830383,0.792444965663435,0.000256996204257126,0.398662083943177
TCGA.AB.2935.03,0.204876889130349,0.204108815550956,0.353154764838772,0.124095591981639,0.113763938498283,0.946269848108014
TCGA.AB.2835.03,0.173763767173961,0.737062157068858,0.0891737022736737,1.86750446499119e-07,1.86733060890169e-07,0.462593579879846
TCGA.AB.2855.03,0.0858375904357278,0.395946449623191,0.43123672040671,0.0129998069846352,0.0739794325497361,0.739015893117823
TCGA.AB.2916.03,4.43221744817565e-05,0.601358672952777,2.95003402097917e-05,1.09384517540715e-05,0.398556566080777,0.41837008945786
TCGA.AB.2899.03,0.201152228622452,0.2137959649597,0.225727802199462,0.000230638387221621,0.359093365831164,0.843835470731743
TCGA.AB.2861.03,0.467201292761239,0.532792757553122,2.27387125484023e-06,6.70054085377906e-07,3.00576029927364e-06,0.429388181539165
