S6,S5,S4,S2,S7,ITTH
TCGA.XJ.A83F.01,0.148199162925822,0.262124831005404,0.471996815272012,0.114091986399853,0.00358720439690943,0.780483219873672
TCGA.G9.6348.01,0.335327683600906,0.181066557220587,0.292129900476512,0.191475858700033,1.96270489808066e-12,0.839925854451435
TCGA.CH.5766.01,0.265496782254142,0.0236284342592846,0.473526450240924,0.237347376309833,9.56935816893337e-07,0.705800404588091
TCGA.EJ.A65G.01,3.17976273891876e-07,0.132349988707832,0.133869195919786,0.727860318866229,0.00592017852987887,0.496087649030387
TCGA.G9.6354.01,0.1171068120525,0.265466030053091,0.473595876986713,0.143830718282847,5.62624849191605e-07,0.768040430099664
TCGA.EJ.5527.01,0.309599876513274,0.0011968094773062,0.585269419801933,0.0920869159296315,0.0118469782778556,0.594460884979142
TCGA.HC.8213.01,0.168356735973622,0.130086947263388,0.532116578832388,0.168731645366972,0.000708092563629158,0.749558767957507
TCGA.Y6.A9XI.01,0.367328482799042,0.0917758935967331,0.272932893641178,0.267948306505114,1.44234579323206e-05,0.80433469432824
TCGA.CH.5744.01,2.22688579697526e-07,0.120171674698247,0.769292437321192,0.110535608777065,5.65149156047611e-08,0.434839337899514
TCGA.HC.A9TE.01,0.667733586481837,0.104737743764959,0.227249240842077,2.50316412536554e-08,0.000279403879486637,0.525026760313758
TCGA.EJ.A7NJ.01,0.0454287716303095,0.0856660507124624,0.34718570165005,0.521689510858691,2.99651484868471e-05,0.657377152947126
TCGA.SU.A7E7.01,0.364674515590288,0.0495479722623601,0.452044829351195,0.133732322015249,3.60780906658485e-07,0.711256459604257
TCGA.CH.5772.01,0.259582474646422,0.031299185261227,0.219992194829339,0.489125898180566,2.47082445760208e-07,0.709203164558009
TCGA.HI.7168.01,0.610627400403751,0.164059212943361,0.0984420208574765,0.112942818537838,0.0139285472575729,0.703229182186773
TCGA.ZG.A9L0.01,0.597369784999832,0.0751442935143979,2.34138721170369e-06,0.327482545493479,1.03460507943938e-06,0.539253916983601
TCGA.HC.7075.01,0.0536961901830616,0.0827814160540909,0.249291903693403,0.613035692582587,0.00119479748685734,0.632271582157842
TCGA.V1.A9Z8.01,0.428947591682057,0.165642274497123,0.164596298121249,0.237472479565581,0.00334135613398998,0.819119632550629
TCGA.KK.A7AW.01,0.209548170117856,0.737039964613173,0.0533721425006873,3.53660654150655e-05,4.3567028692075e-06,0.440641015919142
TCGA.H9.A6BX.01,0.0422266875643732,0.140257981640302,0.438659074248296,0.355261411013298,0.0235948455337312,0.762174877037559
TCGA.YL.A9WY.01,0.778591875642615,0.0315465960666762,0.112499207667034,0.0773599635654711,2.3570582042125e-06,0.46457034071409
TCGA.EJ.8469.01,0.615658192149253,3.82982748227442e-06,0.378194224519241,0.00614310096386313,6.52540161455948e-07,0.433511436812915
TCGA.G9.6361.01,0.277740155818554,0.198770608431726,0.463167290854267,0.054344965360519,0.00597697953493435,0.759457158958188
TCGA.HI.7171.01,0.611796352077538,0.0918390775299299,0.295621676144032,1.15788003656738e-05,0.000731315448134447,0.550238264460873
