S2,S4,S8,S6,S1,ITTH
TCGA.A5.A2K7.01,0.723442333489127,0.0593408831566977,0.00150174157082242,0.206130597644287,0.0095844441390663,0.485664934346297
TCGA.EO.A3AS.01,0.67996628390268,2.92592348099399e-06,9.79412576777247e-06,0.291857608496148,0.0281633875519231,0.448837883533635
TCGA.EY.A549.01,0.354389669845447,5.20714861666961e-06,7.50853719564903e-06,0.636369165960871,0.00922844850786972,0.434092178997253
TCGA.EO.A3B0.01,0.73666124533302,0.0202222606174477,0.00715705750008428,0.235791115920924,0.000168320628524605,0.423451743872274
TCGA.KJ.A3U4.01,0.851150603926747,0.0167170432539078,0.0179462683149814,0.110491720278446,0.00369436422591704,0.336643617670593
TCGA.EY.A2OQ.01,0.930921443174471,0.060468606590117,2.43883486565171e-05,0.000233754814890296,0.00835180707186471,0.17302161070828
TCGA.PG.A7D5.01,0.840435062406875,0.159559549940101,2.60594503531548e-06,1.54932277826934e-06,1.23238520956541e-06,0.272774885936499
TCGA.EO.A3KW.01,0.70981103157444,0.102692873025404,0.00228228830308001,0.184308158731438,0.00090564836563745,0.502624290301347
TCGA.PG.A915.01,0.914395723898838,0.0849684167857895,0.000633709649086218,2.29160462347433e-07,1.92050582355002e-06,0.183923772123332
TCGA.D1.A3JQ.01,0.784057087772546,0.0783719077664715,0.000576879333531039,0.136729772580603,0.00026435254684814,0.415571073441634
TCGA.AX.A2HH.01,0.78631082580229,0.0145767776168227,0.00781606841614048,0.0489216664982231,0.142374661666523,0.443471573480161
TCGA.AJ.A5DV.01,0.384148546191868,0.000494932230326854,0.0102761979795237,0.5977015907299,0.00737873286838135,0.473565422221648
TCGA.5S.A9Q8.01,0.384057991141317,0.0854561942442372,0.0197753078402551,0.363248931115272,0.147461575658919,0.811111732470549
TCGA.DI.A2QY.01,0.765157688361933,0.166930747501176,0.0103240980027178,0.0573137663307911,0.000273699803382116,0.445484934272923
TCGA.DI.A1BU.01,0.58165471112066,0.0441361305168769,0.0110258738402232,0.359814435183062,0.00336884933917777,0.552727705666967
TCGA.B5.A5OE.01,0.802211644127622,0.152242369853698,0.0197463463957882,0.023327708225661,0.0024719313972313,0.399744171227211
TCGA.AX.A3G3.01,0.838708378184378,0.138822065056062,0.0224290762329832,2.34075675864156e-05,1.70729589900079e-05,0.315168545449917
TCGA.PG.A916.01,0.159944831955358,0.0117479026553942,0.000138500060490114,0.828022503580289,0.000146261748468384,0.313250960566861
TCGA.AJ.A3NC.01,0.593098911087136,2.38781359123237e-06,0.00711498305581152,0.359168422129049,0.0406152959144119,0.523748613420268
TCGA.DF.A2KY.01,0.858640428530491,0.0883521519675235,0.00789836937201088,0.0451054783717959,3.57175817891596e-06,0.325140365379025
TCGA.AX.A3FV.01,0.878076328598896,0.0353013247828428,0.0139544249103157,0.0726568088260044,1.11128819412545e-05,0.299767428382509
TCGA.QS.A5YR.01,0.115963429956175,0.118606516781454,0.0174811036483497,0.743507615201146,0.00444133441287541,0.508164274028942
TCGA.DF.A2KZ.01,0.253240974966459,0.084594136824782,0.00628964529495273,0.511228313716981,0.144646929196825,0.752620607781358
TCGA.A5.A2K2.01,0.786559368993189,0.0509078643559745,0.00642313393594452,0.155629214154889,0.000480418560002857,0.413834280079673
TCGA.AX.A3FZ.01,0.989245250105042,6.36496768061951e-06,3.3360134061086e-05,4.19719383575185e-06,0.0107108275993808,0.0371299702953296
TCGA.B5.A0JR.01,0.487502996676099,0.0167636354740068,0.00666466701626579,0.488644208651141,0.000424492182487262,0.500429448768855
TCGA.AJ.A3TW.01,0.864828193740586,0.0855324039671291,0.0103547082234252,0.0389489522454157,0.000335741823443852,0.318325576264075
